user_id,company_id,job_offer_id,cv_skills,cv_user_title,experience_position,job_offer_title,job_offer_required_skills,application_status,y,skills_match,title_similarity,previous_applications
25,108,1024,"React, Node.js, Spring, SQL",DevOps Engineer,Mobile App Developer,Frontend Engineer,"SQL, JavaScript, React",Accepted,1,0.6666666666666666,0,0
27,110,1012,"Node.js, Angular, Django, React",Mobile Developer,Backend Developer,DevOps Specialist,"MongoDB, PHP, Spring, Node.js",Rejected,0,0.25,0,0
4,106,1018,"Python, Node.js, Symfony",System Analyst,Frontend Developer,Full Stack Developer,"Python, .NET, Vue.js",Rejected,0,0.3333333333333333,0,0
13,109,1023,"Symfony, PHP, Angular, Node.js",DevOps Engineer,Frontend Developer,Mobile Developer,"Java, Django, Flask",Rejected,0,0.0,0,0
27,102,1024,".NET, Angular",Software Engineer,Backend Developer,Mobile Developer,"Node.js, Vue.js",Rejected,0,0.0,0,1
30,103,1006,"JavaScript, MongoDB",Frontend Developer,Frontend Developer,Full Stack Developer,"Angular, Django, Symfony, .NET",Rejected,0,0.0,0,0
4,109,1006,"Django, JavaScript, Flask, Angular",Senior Developer,Mobile App Developer,Data Engineer,"React, Vue.js, Flask, Node.js",Pending,1,0.25,0,1
9,108,1020,"Java, C#, React",Full Stack Developer,Backend Developer,Backend Engineer,"Vue.js, SQL, .NET, React",Rejected,0,0.25,0,0
11,101,1001,"Java, Spring, Node.js, JavaScript",DevOps Engineer,Web Developer,Software Developer,"Symfony, Spring, React, Java",Accepted,1,0.5,0,0
12,107,1007,".NET, Hibernate, C#",Full Stack Developer,Web Developer,Data Engineer,"Python, MongoDB, Java",Rejected,0,0.0,0,0
10,103,1008,"Vue.js, Spring, C#, PHP",Software Engineer,Data Analyst,Frontend Engineer,"Hibernate, Java, JavaScript",Rejected,0,0.0,0,0
8,105,1022,"React, Java",Data Scientist,Data Analyst,Mobile Developer,"Flask, Node.js",Rejected,0,0.0,0,0
24,105,1004,"Python, PHP",Full Stack Developer,Mobile App Developer,Full Stack Developer,"MongoDB, Django, Hibernate",Rejected,0,0.0,1,0
24,109,1009,"Symfony, Python",Backend Developer,Data Analyst,Web Developer,"C#, .NET, Python, Node.js",Pending,1,0.25,0,1
26,110,1003,"Flask, Node.js, .NET, Vue.js",Frontend Developer,Software Engineer,Data Engineer,"Hibernate, MongoDB, Java",Rejected,0,0.0,0,0
26,105,1010,"Spring, Hibernate",Full Stack Developer,Mobile App Developer,DevOps Specialist,"Java, JavaScript, Vue.js, .NET",Rejected,0,0.0,0,1
2,105,1004,"PHP, Hibernate, C#",DevOps Engineer,Mobile App Developer,Mobile Developer,"C#, Node.js",Rejected,0,0.5,0,0
23,103,1014,"Vue.js, JavaScript, PHP",Senior Developer,Web Developer,Frontend Engineer,"Hibernate, SQL, React",Rejected,0,0.0,0,0
9,108,1001,"C#, Django, Vue.js, Node.js",Java Developer,Web Developer,Data Engineer,"MongoDB, React",Rejected,0,0.0,0,1
13,110,1006,"MongoDB, Hibernate, SQL",Senior Developer,Mobile App Developer,Frontend Engineer,"SQL, Django",Pending,1,0.5,0,1
15,102,1015,"Node.js, React, PHP, Hibernate",System Analyst,Web Developer,System Administrator,"Flask, PHP, Node.js, C#",Accepted,1,0.5,0,0
17,105,1012,"Hibernate, PHP",Senior Developer,Frontend Developer,Full Stack Developer,"Vue.js, .NET, PHP, Java",Pending,1,0.25,0,0
15,102,1025,"Flask, JavaScript, MongoDB, PHP",Frontend Developer,Backend Developer,Software Developer,"Python, Flask",Pending,1,0.5,0,1
24,102,1002,"Django, Node.js",Java Developer,Backend Developer,Frontend Engineer,"SQL, PHP, Flask",Rejected,0,0.0,0,2
25,106,1018,"Python, SQL, C#, Java",Senior Developer,Web Developer,System Administrator,"Django, Node.js, MongoDB, Spring",Rejected,0,0.0,0,1
1,109,1016,"PHP, Flask, Angular, Hibernate",Mobile Developer,Data Analyst,Frontend Engineer,"Angular, Symfony",Pending,1,0.5,0,0
